,제목,작가,평점,내용,장르,이용연령가,연재요일
119,헥토파스칼,버퍼링 / 길성근,9.91,"전설로 불리던 싸움꾼 박한준.더 이상 잃을 것도 없어 좌절하던 그에게 막대한 돈이 주어진다.눈 에는 눈, 이 에는 이!내가 당한 것만큼 반드시 되갚아 주겠다!받은 것보다 더 돌려주는 통쾌한 복수,그의 거침없는 분노가 폭발한다!","스토리, 액션",12세 이용가,화
120,빌런투킬,퓨핀 / 은지,9.91,"동료를 살해했다는 억울한 누명을 쓰고 사망한 카시안. 모든 게 끝이라고 생각한 순간. 그의 영혼은 어느 소년의 몸에 빙의되어 빌런으로 각성한다.선망의 대상이자 대중의 지지를 받던 탑클래스 싸이커였던 그가 하루아침에 빌런이 되다니! 그는 자신의 운명을 받아들이기 힘들다.복수와 분노! 거듭되는 파괴적인 충동으로 이성까지 잠식당할 위기에 처하지만, 신비로운 존재 모로스의 도움과 초인적인 자제력으로 이를 극복해 낸다.“대재앙급이라고?! 어디.. 화끈하게 터트려 볼까!!”","스토리, 판타지",15세 이용가,화
121,은주의 방 2~3부,노란구미,9.94,"인테리어, 그것은 삶을 바꿔주는 마법이다!반복되는 야근과 업무 스트레스로 회사를 때려치운 뒤셀프 인테리어로 인기 블로거가 된 은주.그녀의 인테리어에서 연애까지, 라이프 체인지 스토리.","스토리, 드라마",전체연령가,화
122,에이머,구동인,9.8,"작은 우연은 역사를 만든다.지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기!","스토리, 판타지",전체연령가,화
123,로잘린 보가트,삼월에 / 마하 / 하노H...,9.97,"""남편이 어여뻐야 시가에 돈벼락이 내리지 않겠어요?""왕족과 귀족의 사치로 재정이 무너져가는 칼라브리아 왕국.평민의 신분으로 거부가 된 부르주아, 보가트 상단은 자신들이 유일하게 갖지 못한 명예를 얻기 위해보가트 상단의 천덕꾸러기 차녀 로잘린과 칼라브리아 왕가의 최고 미인, 왕세자 로비엔을 결혼시키고자 하는데···.돈으로 산 명예, 혼인으로 막은 왕가의 파산, 뜻하지 않은 결혼을 하게 된 둘은서로의 치부를 감싸안고 가까워질 수 있을까.","스토리, 로맨스",12세 이용가,화
124,"대공님, 실수였어요!","시세Sisse, 이정은 /...",9.86,"짝사랑하는 대공님을 실수로 납치해버렸다!이 일을 수습해 줄 테니 계약 연애를 하자는 대공님의 제안을, 덜컥 받아들였는데…….“비비안. 키스해도 됩니까?”네? 우리 연애 시작하자마자 키스하는 건가요?“키스하고, 그다음 진도도 나가고, 저랑 결혼하죠, 비비안.”……큰일 났다. 아무래도 대공님이 제정신이 아닌 것 같은데……!이 연애, 정말 괜찮은 걸까!","스토리, 로맨스",전체연령가,화
125,빅맨,하하영,9.73,키가 크다는 건 엄청난 축복이라고?208cm인 나한테는 그저 저주일 뿐이다!큰 키를 가진 은덕은 입학 첫날부터 여러 체육 부서 선배들에게 쫓기게 되는데... 그때 같은 반 여자아이에게 도움을 받게 된다.그런데 그녀가 데리고 간 곳이 다름 아닌 농구장..?!빅맨 나은덕의 청춘 성장 학원물!!,"스토리, 스포츠",전체연령가,화
126,햄버거가 제일 좋아,용현 / 민국,9.94,"전남친과의 이별로 '사람알레르기'가 생긴 무화과, 과연 연애에 성공할 수 있을까?초겨울 아직 텅 빈 신도시에서 만나게 된 자유로운 외톨이들의 눅눅한 사랑 이야기.","스토리, 로맨스",전체연령가,화
127,왕게임,신형욱 / 범고래,9.87,절대권력을 손에 넣게 된 소년의 학원액션 서스펜스!폭력에 순응하며 비굴한 학창 시절을 보내던 고등학생 ‘황초민’.어느 날 절연했던 친형의 사망 소식과 함께 그의 핸드폰을 갖게 된다.형이 거대 폭력서클 「황제사단」의 단장이라는 사실을 알게 된 황초민은 그를 사칭하여 사단을 조종해 쓰레기들을 처단하기 시작하는데...절대로 들켜선 안 될 왕게임이 시작된다!,"스토리, 액션",12세 이용가,화
128,또 다른 사랑,이순기 / 또각 / 스파클라,9.97,"잘못된 사랑으로 평범할 것만 같았던 행복이 한순간 절망으로 뒤바뀌어 버렸다. 주홍글씨처럼 새겨진 악몽에서 벗어나 진실을 밝히기 위해,절망에서 벗어나 행복을 쟁취하기 위해,제이가 움직이려는 순간그녀에게 이국적이고 진정한 사랑이 다가오는데...!","스토리, 드라마",12세 이용가,화
129,아이즈,정썸머,9.95,"한 쪽 눈이 없는 고등학생 '서주안'은 매일 학교에서 섬뜩한 시선을 느낀다.두려움에 떨면서도 시선의 정체를 궁금해하던 중, '조류인간'의 존재를 알게되어 혼란에 빠지고...서늘한 긴장감이 감도는 가운데, 조류인간들의 전쟁이 시작된다!","스토리, 액션",15세 이용가,화
130,사표내고 이계에서 힐링합니다,덤보 / 파란 / 딥블랙,9.9,"평범하지만 행복한 삶을 살던 주인공 이수.5년 전 갑작스레 부모님을 잃고 폐인이 되어 하루하루를 힘겹게 살아간다.숨 막히는 일상에 메말라가던 그때, 다용도실에서 차원문이 열렸다. 가본 적 없는 곳, 무엇이 있을지 모르는 곳.평민으로 시작해 영주까지, 이세계에서 잔잔하게 즐기는 힐링 라이프.","스토리, 판타지",전체연령가,화
131,한입만!,이한솔,9.92,"복학생 도상구. 어릴 적 사고로 건강염려증에 상처 트라우마 까지 있는 그의 앞에 등장한 탑 아이돌 <슈가레드>의 센터 고영희. 그녀는 난생처음 느낀 맛있는 향에, 가난한 복학생 상구를 쫓아다니게 되는데..?","스토리, 로맨스",12세 이용가,화
132,풋내기들,신여름,9.96,"스무 살의 봄, 새봄은 두근거리는 마음으로 대학교 인근의 셰어하우스에 입성한다. 그곳에서 외모와 성격이 전혀 다른 룸메이트 희주 그리고 최애 라욱과 똑같이 생긴 이상형까지 만난다. 풋풋하지만 많은 것이 서툴렀던 스무 살, 우리들의 이야기!   첫사랑의 설렘을 가득 담은 셰어하우스로 놀러 오실래요?","스토리, 로맨스",전체연령가,화
133,내남친 킹카만들기,랑쓰 / 섯끼,9.83,사랑스러운 외모의 SNS 스타 윤시아는 관리라고는 한번도 해본 적 없는 방구석 아싸 김민호를 킹카로 만드는 콘텐츠를 시작한다.과연.. 그는 긁지 않은 복권이 맞을까? 두근두근 k-하이틴 로맨스!,"스토리, 로맨스",전체연령가,화
134,사공은주,이체리,9.9,"술집 알바생 '민준'은 어느날 천년의 이상형 '은주'를 보게 된다. 그 후 그녀의 SNS를 찾아내 관음하는 것이 일상이 된 민준.민준은 은주에게 접근하기 위해 옆방으로 이사까지 하지만, 은주 곁엔 늘 깡패 같은 남자친구 '현태'가 있었다.  충격도 잠시, 현태와 싸운 은주가 상처투성이가 되어 나타나자 민준은 크게 분노하고,은주를 현태로부터 구해겠다는 일념 하에 스스럼없이 도를 넘은 행동들을 하며 악질 스토커가 되어간다. 그러던 와중 민준의 방에도 수상한 흔적들이 포착되고, 충격적인 사건들이 원룸 내부에서 벌어진다.","스토리, 스릴러",15세 이용가,화
135,열녀박씨 계약결혼뎐,안젤리크 / 닷다 / 김너울,9.93,"혼례 첫날밤, 갑작스럽게 서방을 잃은 열녀 박연우. 엎친 데 덮친 격으로 괴한에게 납치당해 우물에 던져졌지만, 눈을 뜬 곳은 21세기 대한민국…?! 설상가상 연우를 구해준 서방님 판박이는 가짜 혼인을 하자고 한다! 당찬 열녀 박씨 연우와 독신주의자 강태하의 동상이몽 계약 결혼.","스토리, 로맨스",15세 이용가,화
136,쿠쿠쿠쿠,신의철,9.89,"어느 날, 남극에서나 사는 줄 알았던 펭귄이 너드남 공선생 집에 난입했다!할 줄 아는 말은 '쿠쿠'밖에 없는 그 녀석은 심지어 아프리카에서 왔다나?한국을 자신의 고향인 볼더스 비치처럼 여유와 낭만이 넘치는 곳으로 바꾸겠다는 쿠쿠와 엉겁결에 같이 살게 된 공선생.그 둘의 앞에 하드한 K-라이프가 펼쳐지게 되는데!","스토리, 개그",전체연령가,화
137,제로게임,즐바센,9.97,죽음을 선택한 사람들의 인생 재건설 서바이벌!2015 대학만화 최강자전 수상작,"스토리, 판타지",12세 이용가,화
138,주인님을 잡아먹는 방법,세인 / 차혜영,9.97,"라운 왕국의 뛰어난 기사, 엘 루이즈 테레즈. 그녀는 어느 파티에서 약혼자의 바람을 목격하고 파혼을 선언한다. 파혼에 대한 충격으로 깊은 슬픔에 잠긴 나머지 정신을 잃고 쓰러진 엘. 그리고 다음 날 아침, 엘은 뜻밖의 인물을 마주한다. 바로 미친개로 유명한 개또라이 왕족 테오도르를! 그런데 그 테오도르가 왠지 내 앞에서는 과하게 예의가 바르다?!","스토리, 로맨스",15세 이용가,화
139,여우자매,갈치,9.94,"인간을 홀리고, 간을 빼먹는 무시무시한 요괴 구미호....와는 거리가 아주 먼 꼬마 여우자매 '류월', '류화'의 정신없는 일상 이야기!","에피소드, 판타지",전체연령가,화
140,1331,보라기린,9.88,"백화점 알바를 하며 쳇바퀴 굴리듯 살던 유민은 삶에 회의를 느낀다.매니저와의 마찰로 퇴사를 결심하고 매니저의 사무실로 들어선 그때, 유민이 마주한 것은 괴물로 변해버린 매니저.유민은 매니저를 피해 달아나지만 이내 또 다른 괴물과 마주하며 위기를 맞게 되는데... 이미 백화점 밖은 종말에 가까운 세상이 펼쳐지고 있었다.","스토리, 스릴러",15세 이용가,화
141,"이 결혼, 새로고침",영 / 다프네 박 / 핑크티,9.72,한 번 친부모에게 버려졌고 두 번 양부모에게 버려졌던 유정.자신을 떠났던 수많은 어머니들 때문에 사랑을 믿지 못하는 지운. 엄마가 없던 두 사람이 지키고 싶은 소중한 아이를 위해 법적인 부부가 된다. 서류상의 부부로 시작해 진짜 가족이 되는 이야기.,"스토리, 로맨스",15세 이용가,화
142,짝사랑의 마침표,숭어,9.96,"고백 성공률 0%의 짝사랑마스터 해리.굴욕적인 19번째 실연장면을 우연히 예찬에게 들키고 만다.다시는 아무도 안 좋아하겠다고 다짐했지만, 또 짝사랑을 시작해버린 해리는 20번째 실연을 막기 위해 예찬의 도움을 받기로 하는데...과연 이번 사랑은 성공할 수 있을까?","스토리, 로맨스",전체연령가,화
143,필리아로제 - 가시왕관의 예언,백화등 / Ryuta / ...,9.97,"소녀 사제, 패륜 왕자의 반란을 막아라!상대의 마음을 읽는 능력을 가진 사제 필리아. 그는 아이로 대사제에게서 '레오 엘라이온의 반란을 막으라'는 임무를 받는다. 한때 엘라이온 왕국의 촉망받는 왕자였으나... 망국을 알리는 예언이 사실이라 증명하듯, 반란을 꿈꾸는 패륜아가 되어버린 레오. 그를 설득해 전쟁을 막아야 왕국이 무사할 수 있는데...어느 날 어린 사제에게 주어진 구국의 사명. 필리아는 과연 이 짐승 왕자를 길들일 수 있을까?","스토리, 판타지",전체연령가,화
144,마침내 사랑이에요 마왕님!,밀크마스터,9.97,"마계를 통일하고 잠시 마왕성을 떠나 권태로운 일상을 보내던 마왕 엘리고르(600살)는 산책 중에 외모에 혹해 한 소년을 구한다.연약하고 부드러운 얼굴, 해사한 표정의 미소년, 제레미엘!!그는 성기사요, 나는 마왕!한낱 인간에 흔들리는 이 감정은, “역시 분노인가?”","에피소드, 개그",전체연령가,화
145,이븐 모어,"성, 귤씨, 여울 / 토피...",9.9,"끝이 좋지 않았던 첫사랑은 불시에 나타나 우연의 세계를 뒤흔들었다.여름이 타는 줄도, 가을이 지는 줄도 모르고 좋아했던 그때와 다르게, 열아홉과 서른하나의 간극을 또렷하게 지닌 채로.","스토리, 로맨스",전체연령가,화
146,AI 유하,박현 / 지홍주,9.9,"데뷔 10년 차 인기 아이돌 유하. 그리고 그녀의 1호 팬 도현.  그런 도현의 눈앞에 어느 날 유하가 나타나 도움을 청하지만, 도현은 자신이 유하라고 말하는 그녀를 도저히 믿을 수가 없다. 왜냐면... '유하는 이 세상에 존재할 수 없는 AI니까!'  버추얼 아이돌과 찐팬의 비밀 가득 로맨스 이 둘의 소망은 과연 이뤄질 수 있을까?!","스토리, 로맨스",전체연령가,화
147,연우의 순정,이솔,9.98,여학생으로 오해받을 정도로 여리여리한 외모를 가진 연우. 그는 교내 인기스타인 강해솔을 몰래 좋아하고 있다.하지만 낯을 굉장히 많이 가리고 소심한 연우는 같은 반인 해솔이에게 말 한 번 붙여본 적 없는데…,"스토리, 감성",15세 이용가,화
148,그녀석 정복기,강은영,9.92,"모든 걸 공유하는 소꿉친구, 신나와 라운. 어느 날 신나는 라운이의 이중적인 모습을 발견하게 되는데, 순둥이 같던 라운이가 사이코로 돌변한 것! 신나에게만 가면이 벗겨진 라운과, 비밀을 공유하게 된 신나. 만만하기만 했던 라운이 이제는 낯선 남자가 되어 다가온다.","스토리, 로맨스",12세 이용가,화
149,원수가 나를 유혹할 때,황비노 / 포롱 / 최서희,9.77,"언니가 약혼자에게 버림 받고 죽었다.시간을 되돌릴 수만 있다면… 다신 그런 남자에게 언니 안 보내!언니가 행복해질 수 있도록 매니저가 되어 고군분투하는 해민.그런데, 원수 같던 그 남자가 나를 유혹할 때 난 어쩌면 좋지?","스토리, 로맨스",전체연령가,화
150,대신 심부름을 해다오,고아라,9.97,"요괴도 있고 사랑도 있고 비밀도 있는 마을, 의양리. 이곳에서 나고 자란 은호는 스무살이 되었고산 속에서 20년 동안 잠들어있던 도깨비가 깨어났다. 은호의 소중한 친구를 지키기 위해서는 할 일이 있다는데...?가까워지는 인연들에 대한 따뜻한 감성 판타지!","스토리, 드라마",전체연령가,화
151,그 남주와 이별하는 방법,소나불 / 미니,9.93,"글로벌 기업 리그베다의 해고 전문가 이영아, ‘최애캐’가 나오는 연애 시뮬레이션 게임에 빙의하다!하지만 웬걸, 공략한 남주들 전원과 연인 상태라 최애캐와 썸은커녕 쌈만 타게 되는데? 본의 아니게 문어다리가 된 영아는 아이디어를 낸다.해고 전문가의 능력을 살려 연인 상태의 남주들과 이별 통보를 하는 것. 영아는 과연 이별에 성공하고 최애캐 렌 브레히트를 손에 넣을 수 있을 것인가!","스토리, 로맨스",전체연령가,화
152,찐:종합게임동아리,소장,9.79,트라우마로 인해 일부러 게임을 피하며 살아온 '김 진'.진이는 신입생 환영회에서 만난 '정진아'의 제안으로 우연히 동아리에 들어가게 되는데...알고 보니 동아리의 정체는 전력을 다해 게임을 즐기는 종합게임동아리였다!게임에 항상 진심인 승부욕 강한 여섯 청춘들의 즐거운 동아리 활동!!,"스토리, 드라마",12세 이용가,화
153,급식러너,슬랭킷,9.89,게임이 현실이 되어버린 세상.학생들은 점심시간마다 급식실로 질주하는 러닝액션 게임 ‘급식러너’에 열광해있다.하지만 게임셔틀인 민호에겐 매일의 점심시간이 지옥인데...그때 민호 앞에 나타난 급식러너의 서버운영자 새나의 제안!“퀘스트를 클리어하면 게임셔틀에서 해방시켜줄게.”자유를 위한 민호의 치열한 질주가 시작된다!!!2020 지상최대공모전 대상 수상 작품!,"스토리, 판타지",전체연령가,화
154,교환학생,올챙구리,9.87,집안 사정으로 대학 진학을 포기한 용철. 우연히 발견한 학생증으로 얼떨결에 한국대 신입생으로 위장했다! 친구들도 사귀고 마음에 드는 선배도 만나 캠퍼스 라이프를 맛보는가 싶더니 웬걸? 자퇴한 줄 알았던 학생증의 진짜 주인이 나타났다...?!아슬아슬 짜릿한 가짜학생 사기극이 시작된다!,"스토리, 드라마",전체연령가,화
155,달이 사라진 밤,황지음,9.83,"폭군이 다스리던 시대.나라에 예언이 내려왔다. 예언의 날 태어나는 아이가 나라에 대성을 가져올 것이다.하지만 그 아이는 살육에 미쳐 나라를 망하게 할 수도 있다.이를 막기 위해 살생을 달고 살며 욕구를 해소해야 한다.그 예언의 날, 태어난 세자 '태호'.예언의 아이 '태호'와 그의 앞에 나타난 '해수'의 이야기.","스토리, 로맨스",15세 이용가,화
156,잿빛오름,유형석,7.37,"외계의 침공으로 멸망의 순간이 다가온 세상,딸 구초록을 혼자 키우면서도 군인의 삶을 이어가던 한오름은 민간인 구출 작전 중 괴생명체의 습격을 받게 된다.황급히 딸과 생존자들을 대피시키고 괴생명체와 사투를 벌였으나,살아 돌아온 그녀를 기다리는 건 잔혹하게 살해당한 아이들의 시체뿐인데…","스토리, 액션",15세 이용가,화
157,붉은 이정표,달뜬,9.88,세상의 평화를 유지하던 최강의 도깨비 집단 '홍혜.' 그러던 어느 날 동료의 배신으로 도깨비 '린'은 홍혜와 친구들 모두를 잃게 된다.분노로 가득 찬 그는 홍혜의 최강전력 '검은 귀신' 으로서 복수를 향해 길을 떠난다.,"스토리, 액션",15세 이용가,화
158,태시트,김다찌,9.94,좀비 바이러스를 내뿜는 오염물질로 무너진 세상. 그곳에 적응한 사람들. 높은 자원과 뛰어난 박사 ‘사이먼’을 겸했던 마을 ‘아미나’.하지만  ‘사이먼’이 실종되고 ‘아미나’ 사람들은 절망에 빠진다.그런 ‘아미나’에서 태어나고 자란 ‘루비’.그녀로 인해 묻혀있던 사건들이 서서히 모습을 드러내기 시작하는데...,"스토리, 액션",12세 이용가,화
159,"너의 순정, 나의 순정",정살,9.82,"반장인 태리는 최근 계속해서 반 분위기를 흐리는 권지호 무리 때문에 스트레스를 받는다. 그러던 중 우연히 알게 된 지호의 비밀을 약점 잡아 지호를 제압하는데 성공하고, 그 일을 기점으로 지호는 태리에게 꼼짝하지 못하며 그렇게 둘의 비밀스러운(?) 상하관계가 시작되는데…","스토리, 로맨스",전체연령가,화
160,벽간소음,이백,9.92,"기회는 멀고, 가난은 곁에 있다.편의점 알바를 하며 여성 전용 고시원에 살고 있는 대학생, 은선혜.​어느 날부터 옆 방에서 남자 목소리가 들리기 시작했다.여성 전용 고시원에서 벽 너머로 자꾸 들리는 남자 목소리에 짜증이 난 선혜는 옆 방에 직접 찾아갔지만, 그 방은 몇년 째 쓰지 않는 방이라는 것을 알고 당황한다.​그럼 내가 들었던 벽 너머의 소리는 뭐였을까...?옆 방의 비밀을 알게 된 순간, 평범했던 그녀의 인생이 크게 흔들리기 시작한다!","스토리, 스릴러",15세 이용가,화
161,마녀이야기,원재,9.58,"오컬트 오타쿠인 자칭마녀 '서채윤'. 그녀 앞에 진짜 마녀 '유리아'가 나타났다?!유리아는 자기 대신 18세 생일에 악마와 계약해 마녀가 되라는 제안을 해오는데...이 계약, 믿어도 괜찮을까? 믿을 수 없는 마법판타지!","스토리, 판타지",전체연령가,화
162,내 남편과 결혼해줘,LICO / 성소작,9.95,"하나뿐인 절친과 바람이 난 남편. 그것도 모자라 시한부인 나를 죽여버렸다. 그렇게 기구하게 죽어버린 ‘지원’, 기적같이 10년 전으로 돌아왔다…?! 지원은 미래를 바꾸기 위해, 자신의 시궁창 같던 운명을 절친 ‘수민’ 에게 넘기기로 다짐한다.그러니까, 나 대신 내 남편과 결혼해줘.​","스토리, 로맨스",15세 이용가,수
163,전지적 독자 시점,UMI / 슬리피-C / ...,9.95,"'이건 내가 아는 그 전개다'한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다.오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.","스토리, 판타지",15세 이용가,수
164,헬퍼 2 : 킬베로스,삭,8.78,역시는 역시 역시군.킬베로스 트라이브의 대장 장광남이 펼치는 스트릿 액션 만화.,"스토리, 액션",18세 이용가,수
165,먹는 인생,홍끼,9.96,세상에는 먹고싶은 것들이 너무 많아! 나의 맛있는 일기,"옴니버스, 일상",전체연령가,수
166,격기3반,이학,9.48,"한국이 세계 격투기의 중심이 된 세상. 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다.신체적 약점이 상쇄되는 무술 ‘주짓수’를 통해, 주지태는 격기반의 정점에 오를 수 있을 것인가…?","스토리, 스포츠",15세 이용가,수
167,비즈니스 여친,루즌아 / 서해,9.7,"가정의 파산 이후 애인 대행 아르바이트를 하면서 악착같이 돈을 모으는 김루나. 그녀의 목표는 오로지 국내 최고가 아파트로 불리는 세그리엘에 '재'입주 하는 것이다. 자신이 살던 130층에서 부유하게 살아가는 문성현을 만난 뒤, 루나는 그와 은밀한 관계를 맺기 시작한다.","에피소드, 로맨스",18세 이용가,수
168,일렉시드,손제호 / 제나,9.85,<노블레스> 손제호 작가와 <소녀더와일즈> 제나 작가가 만났다!고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우 러블리 2인조의 액션 판타지,"스토리, 액션",12세 이용가,수
169,여고생 드래곤,땅콩,9.97,"안녕! 내 이름은 ‘김민지’, 어디에나 있는 평범한 여고생이야.근데 자고 일어났더니 이상한 도마뱀이 돼버렸지 뭐야!?으아앙! 싫어! 개못생겼어! 나 집에 갈래! 누가 나 좀 도와줘!근데 잠깐만, 이렇게 되면 현실세계의 내 몸은?","스토리, 판타지",12세 이용가,수
170,튜토리얼 탑의 고인물,토프 / 방구석김씨,9.78,"전 세계에 몬스터와 함께 등장한 의문의 탑들.이 탑들은 사람들을 선별하고, 선별 저들은 100층까지 클리어를 해야 다시 세상으로 나갈 수 있다.이에 주인공 김현우는 다른 선별된 사람들과 함께 100층까지 공략하지만 알 수 없는 이유로 나가지 못하고 다시 1층으로 돌아와버린다.그 후 김현우는 탑을 나가기 위해 수없이 100층을 반복하여 깨고… 그런 생활을 12년 동안이나 반복하던 어느 날, 갑자기 루프가 풀려 세상 밖으로 나갈 수 있게 된다.","스토리, 액션",12세 이용가,수
171,66666년 만에 환생한 흑마법사,팀 더 지크 / 파사 / ...,9.94,"강대했던 흑마법사 디아블로 볼피르.12신의 계략에 당해 억겁 속에 봉인되었지만,그로부터 66666년이 흘러 다시금 이 땅에 강림한다!""응애!""웰턴 백작의 갓 태어난 장남으로.딥다크 매직 판타지 시작!","스토리, 판타지",12세 이용가,수
172,내가 죽기로 결심한 것은,YUJU,9.97,"태권도 국가대표 선발전을 앞두고 부상을 입은 고3 지오는 뒤늦은 사춘기를 맛보는 중이다.  온갖 찌질한 생각이 드는 와중에 만나게 된 차결은 살랑살랑 웃어대며 지오를 완전히 홀려 버리는데, 맘 놓고 홀리기엔 차결의 주변 사람들이 어쩐지 위험하다.  머리로는 경계해야 하는 걸 알지만, 결을 향한 관심은 멈출 수가 없다. 얘… 좋아해도 되는 걸까?","스토리, 로맨스",15세 이용가,수
173,미래의 골동품 가게,구아진,9.97,"남해의 먼 섬에 살고 있는 소녀, '미래'.미래의 부모님이 바다에서 돌아오지 못한 그날부터, 모든 것들이 변하기 시작했다. 저주를 풀기 위한 단 한 가지의 방법. 소중한 것들을 지키기 위한 기묘한 소녀의 퇴마가 시작된다.","스토리, 스릴러",15세 이용가,수
174,나쁜사람,둠스,9.69,착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀...오늘부터 난... 나쁜 남자로 다시 태어난다.,"에피소드, 액션",12세 이용가,수
175,무림서부,웨스트 / 정한길 / 컵라...,9.92,"황제가 무공을 통한 철혈정치로 제국을 천년동안 유지함에 따라, 오로지 황군 무공만이 힘이요 법도로 살아남고, 고전 무공들은 스러지고 만다. 이런 세계에 환생한 무협지 마니아, 주인공 장건. 과연 그는 동경하던 고전 무공을 되살릴 수 있을까. 서부 대륙 개척지에서 벌어지는 정통 무협의 정수!","스토리, 무협/사극",15세 이용가,수
176,급식아빠,김재한,9.85,<부활남> 김재한 작가의 신작! 딸바보 웹툰작가의 갑작스러운 죽음.학원액션 만화를 그리던 능력(?)을 살려 일진 서클 12간지로부터 딸 다연이를 지켜라!딸이 괴롭힘당하는 모습을 보게 된다면? ...이건 못 참지. 내 딸 건드는 새끼들 다 조져버림.,"스토리, 액션",15세 이용가,수
177,마른 가지에 바람처럼,화음 / 달새울,9.98,"남편을 잃고, 아이를 빼앗기고, 이제 생매장을 눈 앞에 둔 과부 리에타. 그 곳에 ‘미친 폐황자’로 불리는 저주받은 땅, 악시아스 성의 대공. 킬리언이 나타났다.그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다. “안녕, 요부”","스토리, 로맨스",12세 이용가,수
178,연놈,상하,9.84,"중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다.지나버린 시간과 마주한 소년 그리고 소녀의 이야기","스토리, 드라마",12세 이용가,수
179,빌드업,911,9.84,축구덕후지만 볼보이만 5년째?! 빵셔틀 강마루의 열혈청춘 축구드라마,"스토리, 스포츠",12세 이용가,수
180,칼에 취한 밤을 걷다,JP / 송민 / 유진성,9.89,"진소한은 본디 고아 출신이었으나, 현월검무단이 거두어 그녀들과 어린 시절을 함께 보낸다. 하지만 어느 날 그의 특수한 신체 특성을 알아본 사대악인 중 하나인 독마에게 납치당하고, 온갖 실험 끝에 결국 제자로까지 키워지게 된다. 10년 뒤, 그는 현월검무단의 흔적을 찾아보려 하지만, 검무단은 이미 고향을 지배하는 흑도들의 손에 사라져 버렸는데!","스토리, 무협/사극",15세 이용가,수
181,하렘의 남자들,히어리 / 영빈 / 알파타...,9.95,"""내 후궁들부터 들이기로 하였다. 한 다섯 정도.""타리움 제국의 황녀, 라틸. 그녀의 첫사랑 하이신스는 황제가 되기 위해 본국 권력자의 딸과 결혼한다.충격 받는 라틸. 하지만 그 충격이 가시기도 전에 황태녀가 되고,이복남매의 반란 세력에 맞서 황위를 지켜낸다.그렇게 여황제가 된 라틸에게 대신들은 국서를 맞을 것을 제안하는데, 뭔가, 심기에 거슬린다.'왜 여황제는 후궁을 못 들인다는 거지?'""저도 최소 다섯 명은 후궁으로 두어야겠습니다. 제가 좋다면 하렘으로 들여보내세요,보고 마음에 드는 사람을 국서로 삼을 것입니다."" 전무후무한 여황제의 하렘으로, 치명적인 매력의 남자들이 모여든다!","스토리, 로맨스",12세 이용가,수
182,사상최강,이단아 / 황규영,9.9,‘천하 십대 고수’라고 불리는 자들. 인간의 한계를 뛰어넘은 그들은 서로를 견제하며 힘의 균형과 세상의 질서를 유지해왔다.바로 ‘백도현’ 그가 나타나기 전까지는! 내공만으로 사상최강의 힘을 가진 남자 백도현의 시원한 한 방!,"스토리, 무협/사극",전체연령가,수
183,운명을 보는 회사원,영완(映完) / 임성욱,9.96,무당이 되어 세상을 어지럽힐 팔자를 타고난 아이. 욕심을 버리고 신을 받지 않기 위해 평범한 회사원이 되려 한다. 관상과 사주로 운명을 꿰뚫어 보는 최영훈. 과연 평범한 회사원이 될 수 있을까?,"스토리, 판타지",전체연령가,수
184,고삼무쌍,B급달궁 / 하마,9.82,오로지 인생엔 운동과 공부뿐인 장삼봉.어느 날 갑자기 돌아가신 할머니가 전설의 무림 정파 당주?손주에게 남긴 비급을 찾기 위해 학교를 찾아오는 무림 고수들.과연 그는 꿈꾸는 대학에 진학할 수 있을 것인가?!천 년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다!무림인들의 고교습격! 장르파괴 무협학원액션,"스토리, 액션",15세 이용가,수
185,베스트 프렌드,망순,9.95,"sns에서 금수저라며 명품을 과시하는 삶을 사는 마현아. 하지만 현실은 바퀴벌레가 들끓는 허름한 아파트에서 살고 있다.이직을 일삼는 아빠를 따라 전학 간 학교에서 왕따를 당하고 있는 지영을 만나게 되고, 현아는 그녀에게 사소한 친절을 베풀게 된다.그러던 중 우연히 지영에게 sns 속 꾸며진 모습이 아닌 초라한 자신의 현실을 들켜버리게 되는데지영은 비밀을 지켜주는 조건으로 현아가 자신의 절친이 되어주길 바란다.점차 가까워지면서 묘하게 지영의 집착스러운 면모를 보게 되는 현아과연 지영은 좋은 베스트 프렌드일까 아니면 과한 집착을 일삼는 두려움의 대상일까?","스토리, 스릴러",18세 이용가,수
